Colonne1;Colonne2;Colonne3
Clean;Gas;Catalysis
Clean;Gas;Ceramic Foam
Clean;Gas;Chemisorption
Clean;Gas;Chromatography
Clean;Gas;Comb
Clean;Gas;Combustion
Clean;Gas;Corona Discharge
Clean;Gas;Cyclone Separation
Clean;Gas;Desiccant Material
Clean;Gas;Electret
Clean;Gas;Electric Arc
Clean;Gas;Electric Field
Clean;Gas;Electro Osmosis
Clean;Gas;Electron Beam
Clean;Gas;Electropermanent Magnet
Clean;Gas;Electrophoresis
Clean;Gas;Electrostatics
Clean;Gas;Enzyme
Clean;Gas;Fermentation
Clean;Gas;Ferromagnetism
Clean;Gas;Filter (physical)
Clean;Gas;Fractionation
Clean;Gas;Gettering
Clean;Gas;Halbach Array
Clean;Gas;Holes
Clean;Gas;Lamella
Clean;Gas;Magnetic Field
Clean;Gas;Magnetism
Clean;Gas;Metal Foam
Clean;Gas;Molecular Sieve
Clean;Gas;Nanoporous Material
Clean;Gas;Oxidation
Clean;Gas;Ozone
Clean;Gas;Permeation
Clean;Gas;Phase Change
Clean;Gas;Photo oxidation
Clean;Gas;Photodissociation
Clean;Gas;Porosity
Clean;Gas;Pressure Swing Adsorption
Clean;Gas;Purification
Clean;Gas;Radiation
Clean;Gas;Redox Reactions
Clean;Gas;Reduction
Clean;Gas;Reticulated Foam
Clean;Gas;Semipermeable Membrane
Clean;Gas;Settling
Clean;Gas;Sorption
Clean;Gas;Sponge
Clean;Gas;Supercritical Fluid
Clean;Gas;Thermophoresis
Clean;Gas;Valve
Clean;Gas;Zeolite
Clean;Gas;Absorption (physical)
Clean;Gas;Acoustic Tweezers
Clean;Gas;Activated Alumina
Clean;Gas;Activated Carbon
Clean;Gas;Adhesive
Clean;Gas;Adsorption
Clean;Gas;Aerogels
Clean;Gas;Brush
Clean;Gas;Capillary Condensation
Clean;Gas;Catalysis
Clean;Gas;Ceramic Foam
Clean;Gas;Chemisorption
Clean;Gas;Chromatography
Clean;Gas;Comb
Clean;Gas;Combustion
Clean;Gas;Corona Discharge
Clean;Gas;Cyclone Separation
Clean;Gas;Desiccant Material
Clean;Gas;Electret
Clean;Gas;Electric Arc
Clean;Gas;Electric Field
Clean;Gas;Electro Osmosis
Clean;Gas;Electron Beam
Clean;Gas;Electropermanent Magnet
Clean;Gas;Electrophoresis
Clean;Gas;Electrostatics
Clean;Gas;Enzyme
Clean;Gas;Fermentation
Clean;Gas;Ferromagnetism
Clean;Gas;Filter (physical)
Clean;Gas;Fractionation
Clean;Gas;Gettering
Clean;Gas;Halbach Array
Clean;Gas;Holes
Clean;Gas;Lamella
Clean;Gas;Magnetic Field
Clean;Gas;Magnetism
Clean;Gas;Metal Foam
Clean;Gas;Molecular Sieve
Clean;Gas;Nanoporous Material
Clean;Gas;Oxidation
Clean;Gas;Ozone
Clean;Gas;Permeation
Clean;Gas;Phase Change
Clean;Gas;Photo oxidation
Clean;Gas;Photodissociation
Clean;Gas;Porosity
Clean;Gas;Pressure Swing Adsorption
Clean;Gas;Purification
Clean;Gas;Radiation
Clean;Gas;Redox Reactions
Clean;Gas;Reduction
Clean;Gas;Reticulated Foam
Clean;Gas;Semipermeable Membrane
Clean;Gas;Settling
Clean;Gas;Sorption
Clean;Gas;Sponge
Clean;Gas;Supercritical Fluid
Clean;Gas;Thermophoresis
Clean;Gas;Valve
Clean;Gas;Zeolite
Clean;Liquid;Absorption (physical)
Clean;Liquid;Acoustic Cavitation
Clean;Liquid;Acoustic Tweezers
Clean;Liquid;Activated Alumina
Clean;Liquid;Activated Carbon
Clean;Liquid;Adsorption
Clean;Liquid;Aeration
Clean;Liquid;Aerobic Digestion
Clean;Liquid;Aerogels
Clean;Liquid;Boiling
Clean;Liquid;Brush
Clean;Liquid;Capillary Action
Clean;Liquid;Capillary Porous Material
Clean;Liquid;Carbon Nanotubes
Clean;Liquid;Catalysis
Clean;Liquid;Cavitation
Clean;Liquid;Centrifugal Separation
Clean;Liquid;Ceramic Foam
Clean;Liquid;Chemisorption
Clean;Liquid;Chromatography
Clean;Liquid;Comb
Clean;Liquid;Combustion
Clean;Liquid;Coprecipitation
Clean;Liquid;Cryolysis
Clean;Liquid;Cyclone Separation
Clean;Liquid;Desiccant Material
Clean;Liquid;Distillation
Clean;Liquid;Electro Osmosis
Clean;Liquid;Electron Beam
Clean;Liquid;Electropermanent Magnet
Clean;Liquid;Electrophoresis
Clean;Liquid;Enzyme
Clean;Liquid;Fermentation
Clean;Liquid;Ferromagnetism
Clean;Liquid;Filter (physical)
Clean;Liquid;Flocculation
Clean;Liquid;Fractionation
Clean;Liquid;Gettering
Clean;Liquid;Halbach Array
Clean;Liquid;Holes
Clean;Liquid;Hydrodynamic Cavitation
Clean;Liquid;Hydrogen Peroxide
Clean;Liquid;Ion Exchange
Clean;Liquid;Lamella
Clean;Liquid;Laser Ablation
Clean;Liquid;Liquid Membrane
Clean;Liquid;Liquid Liquid Extraction
Clean;Liquid;Magnetic Field
Clean;Liquid;Magnetism
Clean;Liquid;Metal Foam
Clean;Liquid;Molecular Sieve
Clean;Liquid;Nanoporous Material
Clean;Liquid;Oxidation
Clean;Liquid;Ozone
Clean;Liquid;Permeation
Clean;Liquid;Pervaporation
Clean;Liquid;Phase Change
Clean;Liquid;Photo oxidation
Clean;Liquid;Photodissociation
Clean;Liquid;Porosity
Clean;Liquid;Purification
Clean;Liquid;Radiation
Clean;Liquid;Redox Reactions
Clean;Liquid;Reduction
Clean;Liquid;Reticulated Foam
Clean;Liquid;Reverse Osmosis
Clean;Liquid;Sedimentation
Clean;Liquid;Semipermeable Membrane
Clean;Liquid;Settling
Clean;Liquid;Sorption
Clean;Liquid;Sparging
Clean;Liquid;Sponge
Clean;Liquid;Supercritical Fluid
Clean;Liquid;Supercritical Fluid Extraction
Clean;Liquid;Vacuum Distillation
Clean;Liquid;Valve
Clean;Liquid;Zeolite
Clean;Liquid;Absorption (physical)
Clean;Liquid;Acoustic Cavitation
Clean;Liquid;Acoustic Tweezers
Clean;Liquid;Activated Alumina
Clean;Liquid;Activated Carbon
Clean;Liquid;Adsorption
Clean;Liquid;Aeration
Clean;Liquid;Aerobic Digestion
Clean;Liquid;Aerogels
Clean;Liquid;Boiling
Clean;Liquid;Brush
Clean;Liquid;Capillary Action
Clean;Liquid;Capillary Porous Material
Clean;Liquid;Carbon Nanotubes
Clean;Liquid;Catalysis
Clean;Liquid;Cavitation
Clean;Liquid;Centrifugal Separation
Clean;Liquid;Ceramic Foam
Clean;Liquid;Chemisorption
Clean;Liquid;Chromatography
Clean;Liquid;Comb
Clean;Liquid;Combustion
Clean;Liquid;Coprecipitation
Clean;Liquid;Cryolysis
Clean;Liquid;Cyclone Separation
Clean;Liquid;Desiccant Material
Clean;Liquid;Distillation
Clean;Liquid;Electro Osmosis
Clean;Liquid;Electron Beam
Clean;Liquid;Electropermanent Magnet
Clean;Liquid;Electrophoresis
Clean;Liquid;Enzyme
Clean;Liquid;Fermentation
Clean;Liquid;Ferromagnetism
Clean;Liquid;Filter (physical)
Clean;Liquid;Flocculation
Clean;Liquid;Fractionation
Clean;Liquid;Gettering
Clean;Liquid;Halbach Array
Clean;Liquid;Holes
Clean;Liquid;Hydrodynamic Cavitation
Clean;Liquid;Hydrogen Peroxide
Clean;Liquid;Ion Exchange
Clean;Liquid;Lamella
Clean;Liquid;Laser Ablation
Clean;Liquid;Liquid Membrane
Clean;Liquid;Liquid Liquid Extraction
Clean;Liquid;Magnetic Field
Clean;Liquid;Magnetism
Clean;Liquid;Metal Foam
Clean;Liquid;Molecular Sieve
Clean;Liquid;Nanoporous Material
Clean;Liquid;Oxidation
Clean;Liquid;Ozone
Clean;Liquid;Permeation
Clean;Liquid;Pervaporation
Clean;Liquid;Phase Change
Clean;Liquid;Photo oxidation
Clean;Liquid;Photodissociation
Clean;Liquid;Porosity
Clean;Liquid;Purification
Clean;Liquid;Radiation
Clean;Liquid;Redox Reactions
Clean;Liquid;Reduction
Clean;Liquid;Reticulated Foam
Clean;Liquid;Reverse Osmosis
Clean;Liquid;Sedimentation
Clean;Liquid;Semipermeable Membrane
Clean;Liquid;Settling
Clean;Liquid;Sorption
Clean;Liquid;Sparging
Clean;Liquid;Sponge
Clean;Liquid;Supercritical Fluid
Clean;Liquid;Supercritical Fluid Extraction
Clean;Liquid;Vacuum Distillation
Clean;Liquid;Valve
Clean;Liquid;Zeolite
Clean;Solid;Ablation
Clean;Solid;Abrasion
Clean;Solid;Acoustic Cavitation
Clean;Solid;Adhesive
Clean;Solid;Adsorption
Clean;Solid;Amphiphiles
Clean;Solid;Brush
Clean;Solid;Capillary Action
Clean;Solid;Capillary Porous Material
Clean;Solid;Catalysis
Clean;Solid;Cavitation
Clean;Solid;Chemical Transport Reactions
Clean;Solid;Combustion
Clean;Solid;Composting
Clean;Solid;Cryolysis
Clean;Solid;Decomposition (biological)
Clean;Solid;Deflagration
Clean;Solid;Desiccant Material
Clean;Solid;Desorption
Clean;Solid;Electrical Discharge Machining
Clean;Solid;Electrolysis
Clean;Solid;Electron Beam
Clean;Solid;Electron Impact Desorption
Clean;Solid;Electropermanent Magnet
Clean;Solid;Enzyme
Clean;Solid;Erosion
Clean;Solid;Fan
Clean;Solid;Fermentation
Clean;Solid;Ferromagnetism
Clean;Solid;Filter (physical)
Clean;Solid;Fluid Spray
Clean;Solid;Fractionation
Clean;Solid;Friction
Clean;Solid;Froth Floatation
Clean;Solid;Gettering
Clean;Solid;Halbach Array
Clean;Solid;Hydrodynamic Cavitation
Clean;Solid;Hydrogel
Clean;Solid;Hydrogen Peroxide
Clean;Solid;Hydrophile
Clean;Solid;Hydrophobe
Clean;Solid;Ion Beam
Clean;Solid;Ion Exchange
Clean;Solid;Ion Repulsion/Attraction
Clean;Solid;Jet
Clean;Solid;Jet Erosion
Clean;Solid;Laser
Clean;Solid;Laser Ablation
Clean;Solid;Light
Clean;Solid;Liquid Liquid Extraction
Clean;Solid;Lotus Leaf Effect
Clean;Solid;Magnetic Field
Clean;Solid;Magnetism
Clean;Solid;Mechanical Force
Clean;Solid;Molecular Sieve
Clean;Solid;Nap
Clean;Solid;Oxidation
Clean;Solid;Ozone
Clean;Solid;Phase Change
Clean;Solid;Photo oxidation
Clean;Solid;Photodissociation
Clean;Solid;Plasma
Clean;Solid;Purification
Clean;Solid;Pyrolysis
Clean;Solid;Radiation
Clean;Solid;Radioactive Decay
Clean;Solid;Redox Reactions
Clean;Solid;Reduction
Clean;Solid;Resonance
Clean;Solid;Solvation
Clean;Solid;Sonochemistry
Clean;Solid;Sorption
Clean;Solid;Sound
Clean;Solid;Sponge
Clean;Solid;Sputtering
Clean;Solid;Sublimation
Clean;Solid;Suction
Clean;Solid;Supercritical Fluid
Clean;Solid;Supercritical Fluid Extraction
Clean;Solid;Superhydrophilicity
Clean;Solid;Surfactant
Clean;Solid;Tribocorrosion
Clean;Solid;Triboelectric Effect
Clean;Solid;Turbulence
Clean;Solid;Ultrasonic Vibration
Clean;Solid;Vacuum
Clean;Solid;Vacuum Plasma Spraying
Clean;Solid;Vibration
Clean;Solid;Wear
Clean;Solid;Weathering
Clean;Solid;Ablation
Clean;Solid;Abrasion
Clean;Solid;Acoustic Cavitation
Clean;Solid;Adhesive
Clean;Solid;Adsorption
Clean;Solid;Amphiphiles
Clean;Solid;Brush
Clean;Solid;Capillary Action
Clean;Solid;Capillary Porous Material
Clean;Solid;Catalysis
Clean;Solid;Cavitation
Clean;Solid;Chemical Transport Reactions
Clean;Solid;Combustion
Clean;Solid;Composting
Clean;Solid;Cryolysis
Clean;Solid;Decomposition (biological)
Clean;Solid;Deflagration
Clean;Solid;Desiccant Material
Clean;Solid;Desorption
Clean;Solid;Electrical Discharge Machining
Clean;Solid;Electrolysis
Clean;Solid;Electron Beam
Clean;Solid;Electron Impact Desorption
Clean;Solid;Electropermanent Magnet
Clean;Solid;Enzyme
Clean;Solid;Erosion
Clean;Solid;Fan
Clean;Solid;Fermentation
Clean;Solid;Ferromagnetism
Clean;Solid;Filter (physical)
Clean;Solid;Fluid Spray
Clean;Solid;Fractionation
Clean;Solid;Friction
Clean;Solid;Froth Floatation
Clean;Solid;Gettering
Clean;Solid;Halbach Array
Clean;Solid;Hydrodynamic Cavitation
Clean;Solid;Hydrogel
Clean;Solid;Hydrogen Peroxide
Clean;Solid;Hydrophile
Clean;Solid;Hydrophobe
Clean;Solid;Ion Beam
Clean;Solid;Ion Exchange
Clean;Solid;Ion Repulsion/Attraction
Clean;Solid;Jet
Clean;Solid;Jet Erosion
Clean;Solid;Laser
Clean;Solid;Laser Ablation
Clean;Solid;Light
Clean;Solid;Liquid Liquid Extraction
Clean;Solid;Lotus Leaf Effect
Clean;Solid;Magnetic Field
Clean;Solid;Magnetism
Clean;Solid;Mechanical Force
Clean;Solid;Molecular Sieve
Clean;Solid;Nap
Clean;Solid;Oxidation
Clean;Solid;Ozone
Clean;Solid;Phase Change
Clean;Solid;Photo oxidation
Clean;Solid;Photodissociation
Clean;Solid;Plasma
Clean;Solid;Purification
Clean;Solid;Pyrolysis
Clean;Solid;Radiation
Clean;Solid;Radioactive Decay
Clean;Solid;Redox Reactions
Clean;Solid;Reduction
Clean;Solid;Resonance
Clean;Solid;Solvation
Clean;Solid;Sonochemistry
Clean;Solid;Sorption
Clean;Solid;Sound
Clean;Solid;Sponge
Clean;Solid;Sputtering
Clean;Solid;Sublimation
Clean;Solid;Suction
Clean;Solid;Supercritical Fluid
Clean;Solid;Supercritical Fluid Extraction
Clean;Solid;Superhydrophilicity
Clean;Solid;Surfactant
Clean;Solid;Tribocorrosion
Clean;Solid;Triboelectric Effect
Clean;Solid;Turbulence
Clean;Solid;Ultrasonic Vibration
Clean;Solid;Vacuum
Clean;Solid;Vacuum Plasma Spraying
Clean;Solid;Vibration
Clean;Solid;Wear
Clean;Solid;Weathering
Compress;Divided Solid;Abrasion
Compress;Divided Solid;Aeration
Compress;Divided Solid;Angular Momentum
Compress;Divided Solid;Archimedes Screw
Compress;Divided Solid;Auxetic Materials
Compress;Divided Solid;Auxetic Structures
Compress;Divided Solid;Auxetic Voids
Compress;Divided Solid;Axle
Compress;Divided Solid;Ball
Compress;Divided Solid;Cam
Compress;Divided Solid;Centrifugal Force
Compress;Divided Solid;Centrifugal Separation
Compress;Divided Solid;Centrifuge
Compress;Divided Solid;Close Packing
Compress;Divided Solid;Compression
Compress;Divided Solid;Converse Piezoelectric Effect
Compress;Divided Solid;Cyclone Separation
Compress;Divided Solid;Decomposition (biological)
Compress;Divided Solid;Deformation
Compress;Divided Solid;Desiccation
Compress;Divided Solid;Detonation
Compress;Divided Solid;Diamond Anvil Cell
Compress;Divided Solid;Displacement
Compress;Divided Solid;Drag
Compress;Divided Solid;Eccentric
Compress;Divided Solid;Elastic Recovery
Compress;Divided Solid;Elasticity
Compress;Divided Solid;Electret
Compress;Divided Solid;Electric Field
Compress;Divided Solid;Electroactive Polymer
Compress;Divided Solid;Electrohydrodynamics
Compress;Divided Solid;Electromagnet
Compress;Divided Solid;Electromagnetic Induction
Compress;Divided Solid;Electromagnetic Stirring
Compress;Divided Solid;Electrophoresis
Compress;Divided Solid;Electrorheological Effect
Compress;Divided Solid;Electrostatics
Compress;Divided Solid;Electrostriction
Compress;Divided Solid;Entropic Explosion
Compress;Divided Solid;Explosion
Compress;Divided Solid;Explosive Lens
Compress;Divided Solid;Explosive Welding
Compress;Divided Solid;Ferromagnetism
Compress;Divided Solid;Fin
Compress;Divided Solid;Fluidisation
Compress;Divided Solid;Force
Compress;Divided Solid;Forced Convection
Compress;Divided Solid;Funnel
Compress;Divided Solid;Gas Compressor
Compress;Divided Solid;Gear
Compress;Divided Solid;Gravitation
Compress;Divided Solid;Helix
Compress;Divided Solid;Holes
Compress;Divided Solid;Hot Isostatic Pressing
Compress;Divided Solid;Impact Force
Compress;Divided Solid;Impeller
Compress;Divided Solid;Inertia
Compress;Divided Solid;Injector
Compress;Divided Solid;Length Contraction
Compress;Divided Solid;Lever
Compress;Divided Solid;Lorentz Force
Compress;Divided Solid;Magnetic Field
Compress;Divided Solid;Magnetic Shape Memory
Compress;Divided Solid;Magnetism
Compress;Divided Solid;Magnetoelastic Effects
Compress;Divided Solid;Magnetostriction
Compress;Divided Solid;Magnetovolume Effect
Compress;Divided Solid;Mechanical Force
Compress;Divided Solid;Negative Thermal Expansion
Compress;Divided Solid;Oloid
Compress;Divided Solid;Pascal's Law
Compress;Divided Solid;Peristalsis
Compress;Divided Solid;Peristaltic Pump
Compress;Divided Solid;Physical Containment
Compress;Divided Solid;Piezoelectric Effect
Compress;Divided Solid;Piezomagnetism
Compress;Divided Solid;Plasticity
Compress;Divided Solid;Poisson's Effect
Compress;Divided Solid;Pressure Increase
Compress;Divided Solid;Pressurisation
Compress;Divided Solid;Pseudoelasticity
Compress;Divided Solid;Pump
Compress;Divided Solid;Reaction (physics)
Compress;Divided Solid;Roller
Compress;Divided Solid;Screw
Compress;Divided Solid;Sedimentation
Compress;Divided Solid;Segmentation
Compress;Divided Solid;Settling
Compress;Divided Solid;Shaped Charge
Compress;Divided Solid;Shock Wave
Compress;Divided Solid;Solenoid
Compress;Divided Solid;Sound
Compress;Divided Solid;Sphericon
Compress;Divided Solid;Spring
Compress;Divided Solid;Sun and Planet Gear
Compress;Divided Solid;Surface of Constant Width
Compress;Divided Solid;Tessellation
Compress;Divided Solid;Thermal Contraction
Compress;Divided Solid;Thermal Expansion
Compress;Divided Solid;Torque
Compress;Divided Solid;Ultrasonic Vibration
Compress;Divided Solid;Ultrasound
Compress;Divided Solid;Vibration
Compress;Divided Solid;Viscoelasticity
Compress;Divided Solid;Wear
Compress;Divided Solid;Wheel
Compress;Divided Solid;Wind Power
Compress;Divided Solid;Abrasion
Compress;Divided Solid;Aeration
Compress;Divided Solid;Angular Momentum
Compress;Divided Solid;Archimedes Screw
Compress;Divided Solid;Auxetic Materials
Compress;Divided Solid;Auxetic Structures
Compress;Divided Solid;Auxetic Voids
Compress;Divided Solid;Axle
Compress;Divided Solid;Ball
Compress;Divided Solid;Cam
Compress;Divided Solid;Centrifugal Force
Compress;Divided Solid;Centrifugal Separation
Compress;Divided Solid;Centrifuge
Compress;Divided Solid;Close Packing
Compress;Divided Solid;Compression
Compress;Divided Solid;Converse Piezoelectric Effect
Compress;Divided Solid;Cyclone Separation
Compress;Divided Solid;Decomposition (biological)
Compress;Divided Solid;Deformation
Compress;Divided Solid;Desiccation
Compress;Divided Solid;Detonation
Compress;Divided Solid;Diamond Anvil Cell
Compress;Divided Solid;Displacement
Compress;Divided Solid;Drag
Compress;Divided Solid;Eccentric
Compress;Divided Solid;Elastic Recovery
Compress;Divided Solid;Elasticity
Compress;Divided Solid;Electret
Compress;Divided Solid;Electric Field
Compress;Divided Solid;Electroactive Polymer
Compress;Divided Solid;Electrohydrodynamics
Compress;Divided Solid;Electromagnet
Compress;Divided Solid;Electromagnetic Induction
Compress;Divided Solid;Electromagnetic Stirring
Compress;Divided Solid;Electrophoresis
Compress;Divided Solid;Electrorheological Effect
Compress;Divided Solid;Electrostatics
Compress;Divided Solid;Electrostriction
Compress;Divided Solid;Entropic Explosion
Compress;Divided Solid;Explosion
Compress;Divided Solid;Explosive Lens
Compress;Divided Solid;Explosive Welding
Compress;Divided Solid;Ferromagnetism
Compress;Divided Solid;Fin
Compress;Divided Solid;Fluidisation
Compress;Divided Solid;Force
Compress;Divided Solid;Forced Convection
Compress;Divided Solid;Funnel
Compress;Divided Solid;Gas Compressor
Compress;Divided Solid;Gear
Compress;Divided Solid;Gravitation
Compress;Divided Solid;Helix
Compress;Divided Solid;Holes
Compress;Divided Solid;Hot Isostatic Pressing
Compress;Divided Solid;Impact Force
Compress;Divided Solid;Impeller
Compress;Divided Solid;Inertia
Compress;Divided Solid;Injector
Compress;Divided Solid;Length Contraction
Compress;Divided Solid;Lever
Compress;Divided Solid;Lorentz Force
Compress;Divided Solid;Magnetic Field
Compress;Divided Solid;Magnetic Shape Memory
Compress;Divided Solid;Magnetism
Compress;Divided Solid;Magnetoelastic Effects
Compress;Divided Solid;Magnetostriction
Compress;Divided Solid;Magnetovolume Effect
Compress;Divided Solid;Mechanical Force
Compress;Divided Solid;Negative Thermal Expansion
Compress;Divided Solid;Oloid
Compress;Divided Solid;Pascal's Law
Compress;Divided Solid;Peristalsis
Compress;Divided Solid;Peristaltic Pump
Compress;Divided Solid;Physical Containment
Compress;Divided Solid;Piezoelectric Effect
Compress;Divided Solid;Piezomagnetism
Compress;Divided Solid;Plasticity
Compress;Divided Solid;Poisson's Effect
Compress;Divided Solid;Pressure Increase
Compress;Divided Solid;Pressurisation
Compress;Divided Solid;Pseudoelasticity
Compress;Divided Solid;Pump
Compress;Divided Solid;Reaction (physics)
Compress;Divided Solid;Roller
Compress;Divided Solid;Screw
Compress;Divided Solid;Sedimentation
Compress;Divided Solid;Segmentation
Compress;Divided Solid;Settling
Compress;Divided Solid;Shaped Charge
Compress;Divided Solid;Shock Wave
Compress;Divided Solid;Solenoid
Compress;Divided Solid;Sound
Compress;Divided Solid;Sphericon
Compress;Divided Solid;Spring
Compress;Divided Solid;Sun and Planet Gear
Compress;Divided Solid;Surface of Constant Width
Compress;Divided Solid;Tessellation
Compress;Divided Solid;Thermal Contraction
Compress;Divided Solid;Thermal Expansion
Compress;Divided Solid;Torque
Compress;Divided Solid;Ultrasonic Vibration
Compress;Divided Solid;Ultrasound
Compress;Divided Solid;Vibration
Compress;Divided Solid;Viscoelasticity
Compress;Divided Solid;Wear
Compress;Divided Solid;Wheel
Compress;Divided Solid;Wind Power
Compress;Field;Accumulator (energy)
Compress;Field;Acoustic Lens
Compress;Field;Acoustics
Compress;Field;Acousto optic Effect
Compress;Field;Argon Flash
Compress;Field;Battery (electricity)
Compress;Field;Bragg Diffraction
Compress;Field;Brillouin Scattering
Compress;Field;Capacitance
Compress;Field;Compression
Compress;Field;Dielectric
Compress;Field;Diffraction
Compress;Field;Diffraction Grating
Compress;Field;Doppler Effect
Compress;Field;Electric Field
Compress;Field;Electrical Accumulator
Compress;Field;Electron Beam
Compress;Field;Electrostatic Lens
Compress;Field;Electrostatics
Compress;Field;Fabry Perot Interferometer
Compress;Field;Farnsworth Hirsch Fusor
Compress;Field;Ferromagnetism
Compress;Field;Focusing
Compress;Field;Fresnel Diffraction
Compress;Field;Fresnel Lens
Compress;Field;Gravitational Lensing
Compress;Field;Inductor
Compress;Field;Interference
Compress;Field;Lens
Compress;Field;Magnetic Field
Compress;Field;Mechanical Accumulator
Compress;Field;Mirage (photothermal deflection)
Compress;Field;Newton's Rings
Compress;Field;Optical Fibre
Compress;Field;Photon Sieve
Compress;Field;Photonic Crystal
Compress;Field;Reflection
Compress;Field;Refraction
Compress;Field;Resonance
Compress;Field;Resonant Macrosonic Synthesis
Compress;Field;Retroreflector
Compress;Field;Shaped Charge
Compress;Field;Solenoid
Compress;Field;Soliton
Compress;Field;Surface Acoustic Wave
Compress;Field;Waveguide
Compress;Field;Waveguide (optics)
Compress;Field;Zone Plate
Compress;Field;Accumulator (energy)
Compress;Field;Acoustic Lens
Compress;Field;Acoustics
Compress;Field;Acousto optic Effect
Compress;Field;Argon Flash
Compress;Field;Battery (electricity)
Compress;Field;Bragg Diffraction
Compress;Field;Brillouin Scattering
Compress;Field;Capacitance
Compress;Field;Compression
Compress;Field;Dielectric
Compress;Field;Diffraction
Compress;Field;Diffraction Grating
Compress;Field;Doppler Effect
Compress;Field;Electric Field
Compress;Field;Electrical Accumulator
Compress;Field;Electron Beam
Compress;Field;Electrostatic Lens
Compress;Field;Electrostatics
Compress;Field;Fabry Perot Interferometer
Compress;Field;Farnsworth Hirsch Fusor
Compress;Field;Ferromagnetism
Compress;Field;Focusing
Compress;Field;Fresnel Diffraction
Compress;Field;Fresnel Lens
Compress;Field;Gravitational Lensing
Compress;Field;Inductor
Compress;Field;Interference
Compress;Field;Lens
Compress;Field;Magnetic Field
Compress;Field;Mechanical Accumulator
Compress;Field;Mirage (photothermal deflection)
Compress;Field;Newton's Rings
Compress;Field;Optical Fibre
Compress;Field;Photon Sieve
Compress;Field;Photonic Crystal
Compress;Field;Reflection
Compress;Field;Refraction
Compress;Field;Resonance
Compress;Field;Resonant Macrosonic Synthesis
Compress;Field;Retroreflector
Compress;Field;Shaped Charge
Compress;Field;Solenoid
Compress;Field;Soliton
Compress;Field;Surface Acoustic Wave
Compress;Field;Waveguide
Compress;Field;Waveguide (optics)
Compress;Field;Zone Plate
Compress;Gas;Accumulator (energy)
Compress;Gas;Aerofoil
Compress;Gas;Auxetic Materials
Compress;Gas;Boyle's Law
Compress;Gas;Cam
Compress;Gas;Centrifugal Force
Compress;Gas;Centrifuge
Compress;Gas;Compression
Compress;Gas;Condensation
Compress;Gas;Converse Piezoelectric Effect
Compress;Gas;Cooling
Compress;Gas;De Laval Nozzle
Compress;Gas;Electroactive Polymer
Compress;Gas;Electromagnet
Compress;Gas;Electromechanical Film
Compress;Gas;Electrostriction
Compress;Gas;Entrainment
Compress;Gas;Entropic Explosion
Compress;Gas;Explosion
Compress;Gas;Explosive Lens
Compress;Gas;Fan
Compress;Gas;Ferromagnetism
Compress;Gas;Fin
Compress;Gas;Fluid Hammer
Compress;Gas;Foil (fluid mechanics)
Compress;Gas;Force
Compress;Gas;Funnel
Compress;Gas;Gas Compressor
Compress;Gas;Gas Lift
Compress;Gas;Gravitation
Compress;Gas;Ground Effect
Compress;Gas;Guided Rotor Compressor
Compress;Gas;Harmonic Oscillator
Compress;Gas;Hydraulic Press
Compress;Gas;Hydride Compressor
Compress;Gas;Impact Force
Compress;Gas;Impeller
Compress;Gas;Injector
Compress;Gas;Ion Repulsion/Attraction
Compress;Gas;Jet
Compress;Gas;Length Contraction
Compress;Gas;Lever
Compress;Gas;Magnetic Shape Memory
Compress;Gas;Magnetism
Compress;Gas;Magnetoelastic Effects
Compress;Gas;Magnetostriction
Compress;Gas;Magnus Effect
Compress;Gas;Mechanical Force
Compress;Gas;Misznay Schardin Effect
Compress;Gas;Oblique Shock Wave
Compress;Gas;Osmotic Pressure
Compress;Gas;Pascal's Law
Compress;Gas;Peristalsis
Compress;Gas;Peristaltic Pump
Compress;Gas;Phase Change
Compress;Gas;Pitot Tube
Compress;Gas;Poisson's Effect
Compress;Gas;Pressure Increase
Compress;Gas;Pressurisation
Compress;Gas;Pseudoelasticity
Compress;Gas;Pulser Pump
Compress;Gas;Pump
Compress;Gas;Shape Memory Polymer
Compress;Gas;Shaped Charge
Compress;Gas;Shock Wave
Compress;Gas;Surface Acoustic Wave
Compress;Gas;Swashplate
Compress;Gas;Temperature Gradient
Compress;Gas;Tension
Compress;Gas;Tesla Turbine
Compress;Gas;Thermal Contraction
Compress;Gas;Thermal Expansion
Compress;Gas;Tidal Force
Compress;Gas;Trompe
Compress;Gas;Turbulator
Compress;Gas;Ultrasound
Compress;Gas;Voitenko Compressor
Compress;Gas;Wave Power
Compress;Gas;Wedge
Compress;Gas;Wind
Compress;Gas;Accumulator (energy)
Compress;Gas;Aerofoil
Compress;Gas;Auxetic Materials
Compress;Gas;Boyle's Law
Compress;Gas;Cam
Compress;Gas;Centrifugal Force
Compress;Gas;Centrifuge
Compress;Gas;Compression
Compress;Gas;Condensation
Compress;Gas;Converse Piezoelectric Effect
Compress;Gas;Cooling
Compress;Gas;De Laval Nozzle
Compress;Gas;Electroactive Polymer
Compress;Gas;Electromagnet
Compress;Gas;Electromechanical Film
Compress;Gas;Electrostriction
Compress;Gas;Entrainment
Compress;Gas;Entropic Explosion
Compress;Gas;Explosion
Compress;Gas;Explosive Lens
Compress;Gas;Fan
Compress;Gas;Ferromagnetism
Compress;Gas;Fin
Compress;Gas;Fluid Hammer
Compress;Gas;Foil (fluid mechanics)
